threshold;accuracy;recall_chuva;precision_chuva;f1_chuva;TN;FP;FN;TP;modelo;model_tag;versao_dataset
0.3;0.7822009378429612;0.8712157616530514;0.4863197424892704;0.6242038216560509;6027;1915;268;1813;xgb_smote_0p4;xgb_smote_0p4_thr055_v1;australia_clima_v9
0.35;0.8029532076224684;0.8452666987025469;0.5155334114888629;0.6404514837065356;6289;1653;322;1759;xgb_smote_0p4;xgb_smote_0p4_thr055_v1;australia_clima_v9
0.39999999999999997;0.8162226878180185;0.818356559346468;0.5377328702241869;0.6490091463414634;6478;1464;378;1703;xgb_smote_0p4;xgb_smote_0p4_thr055_v1;australia_clima_v9
0.44999999999999996;0.8322857427915794;0.794329649207112;0.5688231245698555;0.6629236013635452;6689;1253;428;1653;xgb_smote_0p4;xgb_smote_0p4_thr055_v1;australia_clima_v9
0.49999999999999994;0.8439588945425521;0.7698222008649688;0.5962039449199851;0.6719798657718121;6857;1085;479;1602;xgb_smote_0p4;xgb_smote_0p4_thr055_v1;australia_clima_v9
0.5499999999999999;0.8533373241544447;0.7342623738587217;0.6249488752556237;0.6752098983650022;7025;917;553;1528;xgb_smote_0p4;xgb_smote_0p4_thr055_v1;australia_clima_v9
0.5999999999999999;0.8582260800159632;0.6962998558385392;0.6474530831099196;0.6709886547811994;7153;789;632;1449;xgb_smote_0p4;xgb_smote_0p4_thr055_v1;australia_clima_v9
0.6499999999999999;0.863314376933054;0.6583373378183566;0.6752094627895515;0.6666666666666666;7283;659;711;1370;xgb_smote_0p4;xgb_smote_0p4_thr055_v1;australia_clima_v9
0.7;0.8669061159333533;0.617011052378664;0.7051070840197694;0.6581240389543823;7405;537;797;1284;xgb_smote_0p4;xgb_smote_0p4_thr055_v1;australia_clima_v9
